,GASS ID,SDSS ID,zSDSS,M∗,µ∗,D25,R90/R50,NUV−r,r
0,,,Table 1: Optical and UV parameters of the COLD GASS galaxies,,,,,,
220,1977,J231815.66+001540.2,0.0298,10.78,8.75,66.2,2.24,3.35,14.07
221,11270,J231816.95+133426.6,0.0395,10.07,8.69,21.1,2.88,3.91,16.23
222,11349,J231836.21+151758.7,0.0256,10.13,8.47,39.3,2.19,2.88,14.76
223,11437,J232215.37+140450.6,0.0264,10.56,8.99,48.3,2.72,3.83,14.54
224,11408,J232227.40+134857.1,0.0260,10.05,8.22,45.4,2.20,2.53,14.80
225,11513,J232239.48+154405.3,0.0411,10.62,8.68,24.0,2.16,4.53,15.31
226,11514,J232326.53+152510.4,0.0428,10.27,9.16,19.6,2.98,4.27,16.26
227,11386,J232611.29+140148.1,0.0462,10.56,9.08,25.7,3.46,4.69,15.77
228,11808,J235257.31+154244.8,0.0479,10.78,8.69,36.0,2.61,4.97,14.97
229,11845,J235644.47+135435.4,0.0363,10.60,8.65,42.5,2.47,4.10,14.98
230,11824,J235747.57+153649.2,0.0380,10.25,8.05,39.1,2.23,3.24,15.45
